title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"Functional interval training: How to get started","functional-interval-training-how-to-get-started-21","Combine functional fitness exercises in circuits of intense activity with short recovery periods to build strength for everyday activities.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"6 Tips to Breaking breakfast barriers","6-tips-to-breaking-breakfast-barriers-22","Breakfast is a key meal that may assist you with manage your weight. Apply these healthy breakfast strategies to get the most out of your morning meal.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Fast, Nutritious Meals for Your Busiest Days","fast-nutritious-meals-for-your-busiest-days-23","Busy days happen. But you can still keep up your healthy routine by following these tips.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Eat a rainbow of fruits and Veggies","eat-a-rainbow-of-fruits-and-veggies-24","Sneaking more fruits and vegetables into your days can require creativity. Here's some inspiration.","FXMed Team","General Wellness","5 min read","draft","","",""
"Moderate or Vigorous? Choosing Your Exercise Intensity","moderate-or-vigorous-choosing-your-exercise-intensity-25","Use these tips to determine which activities count as moderate or vigorous aerobic exercise, and include the recommended amount of each in your routine.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Smart Shopping Strategies for Healthier Eating","smart-shopping-strategies-for-healthier-eating-26","Use these tactics to make preparing healthy meals both quick and easy.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Recipe Makeovers: Healthier Ingredient Swaps","recipe-makeovers-healthier-ingredient-swaps-27","These ingredient swaps are lower in calories and higher in nutrients, so you can make your favorite recipes healthier without sacrificing the taste.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Dietary fats: Know which types to choose","dietary-fats-know-which-types-to-choose-28","Discover the difference between good and bad dietary fats and adopt these tips for a healthier diet.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"5 Strategies to Improve eating habits","5-strategies-to-improve-eating-habits-29","Add these changes to your daily habits to assist you with make food choices that add up to a nutritious eating plan.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Sweets: Small is beautiful","sweets-small-is-beautiful-30","Consider healthy ways to satisfy your sweet tooth.","FXMed Team","General Wellness","5 min read","draft","","",""
"Building your stress resilience","building-your-stress-resilience-31","Discover steps you can take to build your resilience.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Understanding your body on stress","understanding-your-body-on-stress-32","Explore how stress can affect how you feel, think and act, and discover how to identify if stress is affecting your health.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Olive oil: What are the health benefits?","olive-oil-what-are-the-health-benefits-33","Choosing olive oil over other fats might improve your health. Here's why.","FXMed Team","General Wellness","5 min read","draft","","",""
"Stock up on these healthy items","stock-up-on-these-healthy-items-34","Eating healthy is all about being prepared. Discover what foods to keep in your fridge and pantry.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"5 Ways to Keep portions in check","5-ways-to-keep-portions-in-check-35","Struggling with portion control? Try these simple tips.","FXMed Team","General Wellness","5 min read","draft","","",""
"8 Time-saving cooking strategies","8-time-saving-cooking-strategies-36","These simple tips will assist you with spend less time in the kitchen.","FXMed Team","General Wellness","5 min read","draft","","",""
"Tips for following a weight-loss plan when you're gluten free","tips-for-following-a-weight-loss-plan-when-youre-gluten-free-37","You can adhere to your weight-reduction plan and steer clear of gluten. Here's how.","FXMed Team","General Wellness","5 min read","draft","","",""
"Protein: How to make healthy choices","protein-how-to-make-healthy-choices-38","Protein is found in many foods, including meat, fish and legumes. Use this guide to discover which options are healthiest.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"5 Tips to A better night's sleep","5-tips-to-a-better-nights-sleep-39","Want to sleep better? You can by making just a few changes to your daily routine.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Manage weight with mindful eating","manage-weight-with-mindful-eating-40","Mindful eating is a weight-reduction strategy that encourages you to slow down and pay attention to what you're eating.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"The key to weight loss: Make a mental shift","the-key-to-weight-loss-make-a-mental-shift-41","Negative self-talk and all-or-nothing thinking can undercut your efforts to shed pounds. Gain the ability to identify and fix these unhelpful habits.","FXMed Team","Weight Management","5 min read","draft","","",""
"The secret to weight-loss success: Set realistic goals","the-secret-to-weight-loss-success-set-realistic-goals-42","Boost your odds of weight-reduction success by setting specific and achievable goals.","FXMed Team","General Wellness","5 min read","draft","","",""
"Understanding your brain on stress","understanding-your-brain-on-stress-43","Discover how your brain is affected by stress to assist you with determine your stress reaction.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"What stresses you out?","what-stresses-you-out-44","Stress can have many sources. Identifying your stressors and how they affect you can assist you with take steps toward managing them.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Understand your eating triggers","understand-your-eating-triggers-45","Keep your weight-reduction efforts on track by planning ahead for situations that trigger overeating.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Practice problem-solving","practice-problem-solving-46","Discover ideas you can use to practice problem-solving and think of solutions for managing your stress.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Retrain your brain","retrain-your-brain-47","Discover how to retrain your brain and focus your attention on the moment.","FXMed Team","General Wellness","5 min read","draft","","",""
"Weight loss: Reignite your motivation","weight-loss-reignite-your-motivation-48","Looking for weight-reduction inspiration? Check out this list of reasons to shed pounds.","FXMed Team","Weight Management","5 min read","draft","","",""
"What will motivate you to lose weight?","what-will-motivate-you-to-lose-weight-49","How can you be successful at losing weight? Doing it for the right reasons. Discover what that means for you.","FXMed Team","General Wellness","5 min read","draft","","",""
"Stay socially connected","stay-socially-connected-50","Discover about the benefits of staying connected with friends and family, and discover some ideas for how to stay in contact.","FXMed Team","General Wellness","5 min read","draft","","",""
"4 Ways to Make new habits stick","4-ways-to-make-new-habits-stick-51","You've started making healthy changes in your diet and exercise habits. Now discover how to make them stick.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Eat for well-being","eat-for-well-being-52","Your dietary behaviors can change when you're stressed. Think about what and how you eat when you're stressed, and take steps to make healthy choices.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"8 Yoga practices to Busy people","8-yoga-practices-to-busy-people-53","Sneaking a few yoga poses or practices into your day can make an impact on your mood and stress level.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Break free from less healthy eating habits","break-free-from-less-healthy-eating-habits-54","Reversing less healthy dietary behaviors is possible if you concentrate on small, doable changes. Try these tips.
","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"6 Myths about meditation","6-myths-about-meditation-55","Discover how to start reaping the benefits of meditation today.","FXMed Team","General Wellness","5 min read","draft","","",""
"5 Tips to Loving your body more","5-tips-to-loving-your-body-more-56","A negative self-image can sabotage your weight-reduction efforts. Shape up your body image with these tips.","FXMed Team","General Wellness","5 min read","draft","","",""
"8 Solutions to Healthy-eating roadblocks","8-solutions-to-healthy-eating-roadblocks-57","Don't like to cook? Can't resist junk food? Try these practical ways to overcome your biggest healthy-eating challenges.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Dealing with unexpected events","dealing-with-unexpected-events-58","Explore healthy ways to cope with life's challenges.","FXMed Team","General Wellness","5 min read","draft","","",""
"Handling holiday stress","handling-holiday-stress-59","The holidays can be overwhelming. Here's help pacing yourself and remembering what's important.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Refresh with relaxation","refresh-with-relaxation-60","Understand different techniques that can assist you with relax.","FXMed Team","General Wellness","5 min read","draft","","",""
"8 Fun family-fitness ideas","8-fun-family-fitness-ideas-61","Regular physical activity is important for children and adolescents for health and fitness. Try these tips to get your family moving.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Sitting meditation exercises for beginners","sitting-meditation-exercises-for-beginners-62","Start a meditation practice by following these simple steps.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Healthy eating: Make it a family affair","healthy-eating-make-it-a-family-affair-63","You want to eat healthier but you're not sure your family will cooperate. Introduce changes slowly and try these family-friendly tips.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Tips for coping with stress at work","tips-for-coping-with-stress-at-work-64","Get ideas you can use to improve your workplace experience and cope with stress at work.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Is your social circle supportive?","is-your-social-circle-supportive-65","Don’t let your friends foil your healthy eating and exercise habits. Create a support system for long-term success.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"5 Tips to Make tracking easier","5-tips-to-make-tracking-easier-66","Recording your food and activities each day doesn't have to be burdensome. Use these tips to make tracking a breeze.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Are You Getting quality sleep?","are-you-getting-quality-sleep-67","Quality matters as much as quantity when it comes to your sleep. Discover how to spot the signs of poor sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"6 Good reasons to Track your food and fitness","6-good-reasons-to-track-your-food-and-fitness-68","Keeping track of all the foods you eat and activities you do may seem daunting, but tracking can assist you with reach your goals. Discover how.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Know the signs of a sleep disorder","know-the-signs-of-a-sleep-disorder-69","Sleepiness and snoring can be serious. Understand when common sleep disturbances are signs of a sleep disorder.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Sleep and Weight: what's the connection?","sleep-and-weight-whats-the-connection-70","Getting a good night's sleep may assist you with steer clear of weight gain, and a healthy weight may assist you with sleep better.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Why sleep matters","why-sleep-matters-71","Sleep deprivation takes a toll on your health. Discover the many ways sleep matters to your health and well-being.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How to set SMART goals","how-to-set-smart-goals-72","Setting SMART goals can keep you motivated and increase your odds of success. Discover how.","FXMed Team","General Wellness","5 min read","draft","","",""
"What to eat and Drink for better sleep","what-to-eat-and-drink-for-better-sleep-73","What you eat and drink before bedtime can make a difference in both how long and how well you sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"10 Tips to Get your family moving!","10-tips-to-get-your-family-moving-74","Put fun in fitness and get everyone excited about physical activity. No one will even realize it counts as exercise!","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"5 Things to do to Better sleep","5-things-to-do-to-better-sleep-75","Don't deny yourself restorative sleep. Try these tips to fall asleep and stay asleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Keep a sleep diary","keep-a-sleep-diary-76","A sleep diary may be the first step to a better night's sleep. Discover how to track your sleep habits.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"The benefits of quitting smoking","the-benefits-of-quitting-smoking-77","Within 20 minutes of quitting smoking, your body starts to recover. Don't wait any longer to reap the health benefits of going tobacco-free.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Prepare for your quit date","prepare-for-your-quit-date-78","Successful quitting is a matter of planning and commitment, not luck. Start making your plan now.","FXMed Team","General Wellness","5 min read","draft","","",""
"Survive your quit day","survive-your-quit-day-79","Your quit day is almost here. Plan now for how to make it a success.","FXMed Team","General Wellness","5 min read","draft","","",""
"Stay smoke-free","stay-smoke-free-80","You've gotten through the first weeks without smoking. Build on that success to stay smoke-free for the long term.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"How medications can help you quit smoking","how-medications-can-help-you-quit-smoking-81","Quit-smoking medicines lessen cravings and withdrawal symptoms -; making it more likely that you'll stop smoking for good.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"How to measure exercise intensity","how-to-measure-exercise-intensity-82","Want to know just how hard you're working? Here's how to discover.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"How your doctor can help you quit smoking","how-your-doctor-can-help-you-quit-smoking-83","Looking for help to quit smoking? Tap into support and medication with a visit to your doctor.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Nicotine replacement therapy: safe and Effective","nicotine-replacement-therapy-safe-and-effective-84","Nicotine replacement therapy doubles your odds of quitting. It does this by lessening the intensity of nicotine cravings.","FXMed Team","General Wellness","5 min read","draft","","",""
"Walk for weight loss: Try these tips","walk-for-weight-loss-try-these-tips-85","Want to step it up a notch? Start with this walking schedule and keep building as you get more fit.","FXMed Team","Weight Management","5 min read","draft","","",""
"Line up support to help you quit","line-up-support-to-help-you-quit-86","Ask family, friends and co-workers to support your effort to quit smoking.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Strategies for staying smoke-free","strategies-for-staying-smoke-free-87","Everyone makes mistakes, but don't let a slip become a slide back into smoking.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Action guide to dealing with triggers","action-guide-to-dealing-with-triggers-88","To stay tobacco-free, identify your triggers and make a plan to for how to deal with them.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"6 Suggestions to Indoor exercise","6-suggestions-to-indoor-exercise-89","Sometimes exercising indoors is your only option, but it doesn't have to be boring. Keep workouts interesting with these ideas.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Beat boredom with these fitness tips","beat-boredom-with-these-fitness-tips-90","Stuck in an exercise rut? These tips will get you excited to lace up your sneakers!","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Outdoor exercise: 8 smart tips","outdoor-exercise-8-smart-tips-91","Follow these precautions when you're exercising outside.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Prevent and Cope with lapses","prevent-and-cope-with-lapses-92","Once you've gotten past the physical craving for nicotine, staying smoke-free depends on managing situations you associate with smoking.","FXMed Team","Senior Health","5 min read","draft","","",""
"5 Reasons to Strength train","5-reasons-to-strength-train-93","Define your weight-reduction goals and reap the benefits of strength training. Getting started is easy.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Preventing a relapse","preventing-a-relapse-94","Don't let a slip become a relapse. Use these techniques to recommit to staying tobacco-free.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Aerobic exercise 101: benefits and Tips","aerobic-exercise-101-benefits-and-tips-95","Get the facts about cardiovascular exercise and which activities can benefit your heart, assist you with shed pounds, fight disease and more!","FXMed Team","Weight Management","5 min read","draft","","",""
"Stress-coping strategies","stress-coping-strategies-96","Understand the connection between stress and smoking -; and what you can do to break it.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Stop smoking: Tips to avoid weight gain","stop-smoking-tips-to-avoid-weight-gain-97","Don't let a fear of gaining weight stop you from quitting smoking.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"5 Compelling exercise benefits to Men","5-compelling-exercise-benefits-to-men-98","Exercise may have some surprising health benefits for men, including better sleep, lower cancer risk and longer life.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"What exactly is metabolism?","what-exactly-is-metabolism-99","A 'slow metabolism' may only be part of your weight reduction story. Get the facts on what affects your metabolism.","FXMed Team","Weight Management","5 min read","draft","","",""
"4 Things to look to In a fitness buddy","4-things-to-look-to-in-a-fitness-buddy-100","Partnering up can help keep you accountable and make exercise more fun. Here's how to find the right workout pal.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Can I order my favorite foods without derailing my diet?","can-i-order-my-favorite-foods-without-derailing-my-diet-101","Enjoy occasional treats while dining out as part of a nutritious eating plan by limiting portions and extra calories and making favorite foods healthier.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Add 5 habits to kick-start your weight loss","add-5-habits-to-kick-start-your-weight-loss-102","Make positive changes to your routine by developing healthy behaviors that will fuel your body and support weight reduction or weight management.","FXMed Team","Weight Management","5 min read","draft","","",""
"Maximize your diet results: Adopt 5 bonus habits","maximize-your-diet-results-adopt-5-bonus-habits-103","Along with basic nutritious eating plan habits, adopting additional behaviors can support and enhance your efforts to shed pounds.","FXMed Team","Weight Management","5 min read","draft","","",""
"Eat these foods: The Healthy Weight Pyramid","eat-these-foods-the-healthy-weight-pyramid-104","The Mayo Clinic Healthy Weight Pyramid gives a general idea of how much and what to eat in a healthy and satisfying diet for weight reduction or weight control.","FXMed Team","Weight Management","5 min read","draft","","",""
"Everyday ways to eat more fruits and Vegetables","everyday-ways-to-eat-more-fruits-and-vegetables-105","Increasing the amount of fruits and vegetables in your diet can be as easy as snacking on fruit or throwing veggies into your scrambled eggs.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Foolproof stress relievers","foolproof-stress-relievers-106","Improve your quality of life and stress less with these effective ideas.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"When friends and Family sabotage your diet efforts","when-friends-and-family-sabotage-your-diet-efforts-107","Don't let the people closest to you undermine your weight-reduction efforts. Stay on course with these tips.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Social support: A necessity for weight loss","social-support-a-necessity-for-weight-loss-108","Finding support for your weight-reduction efforts can mean the difference between success and failure. Build your team with these ideas.","FXMed Team","Weight Management","5 min read","draft","","",""
"Exercise intensity: How hard are you working?","exercise-intensity-how-hard-are-you-working-109","When you're moving, make it count! Increase calorie burn by stepping it up a notch.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Pack physical activity into your vacation","pack-physical-activity-into-your-vacation-110","There are plenty of opportunities to fit in fitness and make it fun no matter where you are!","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Stay fit and Active this holiday","stay-fit-and-active-this-holiday-111","Exercise can assist you with manage the impact of holiday indulgences and stress.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Track your activity","track-your-activity-112","For fitness motivation, keep track of your movement with a pedometer, a wearable activity tracker or an app to suit your budget and needs.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Balance basics: tips for staying fit and Active","balance-basics-tips-for-staying-fit-and-active-113","Your ability to balance is key for maintaining a healthy, functioning body. Here's why -; and how you can improve your balance.","FXMed Team","General Wellness","5 min read","draft","","",""
"Burn extra calories with daily activities","burn-extra-calories-with-daily-activities-114","Daily chores and tasks can add up to offer big health benefits. Discover just how effective your everyday movements really are.","FXMed Team","General Wellness","5 min read","draft","","",""
"Flexibility: Stretch your way to better health","flexibility-stretch-your-way-to-better-health-115","Stretching can do more than just ease sore muscles. Get ready to reap the health benefits of regular stretching with these pointers.","FXMed Team","General Wellness","5 min read","draft","","",""
"Move more, burn more: The calorie breakdown","move-more-burn-more-the-calorie-breakdown-116","Aerobic activity and strength training are crucial for preventing weight gain and maintaining weight reduction. Get the right mix with these guidelines.","FXMed Team","Weight Management","5 min read","draft","","",""
"Physical activity: 6 tips for getting started","physical-activity-6-tips-for-getting-started-117","Feel better by moving more with these steps to increase your physical activity level.","FXMed Team","General Wellness","5 min read","draft","","",""
"Combat muscle loss with these training tips","combat-muscle-loss-with-these-training-tips-118","Progressive strength training can help combat muscle loss, build strength, and reduce the risk of obesity and disease.","FXMed Team","Weight Management","5 min read","draft","","",""
"Feeling tired? Physical activity can help","feeling-tired-physical-activity-can-help-119","Think exercise only makes you tired? Think again. Regular physical activity can boost energy levels throughout the day.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Find your fitness soundtrack","find-your-fitness-soundtrack-120","Discover how music can pump up your workout -; plus how to choose the right songs and listen safely indoors and out.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Tips to help excited children sleep","tips-to-help-excited-children-sleep-121","Excitement about fun events, such as vacations or birthday parties, can make it hard for your child to sleep. Here's how you can help.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Balance after-work social events with physical activity","balance-after-work-social-events-with-physical-activity-122","When work drifts beyond your scheduled hours, it can be tough to find time to exercise. But with the right approach, fitness can enhance your work life -; and vice versa.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"5 Ways to Help your child stop wetting the bed","5-ways-to-help-your-child-stop-wetting-the-bed-123","Nighttime bed-wetting can be a challenge for both children and their parents. Try these strategies for helping your child stay dry.","FXMed Team","General Wellness","5 min read","draft","","",""
"Find your inner motivation","find-your-inner-motivation-124","There are lots of reasons to exercise. But what's most likely to propel you from ideas to action is the motivation that comes from deep inside.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Work out and Get fit with friends","work-out-and-get-fit-with-friends-125","One secret of faithful exercisers:  They work out with friends. Discover how you can make time for fitness, and a social life too.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Exercise and Joint stress","exercise-and-joint-stress-126","Joint pain can make you want to move less -; but that can increase stiffness and discomfort. Discover how exercise can help, and how to do it safely.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"7 Ways to create a safe sleep haven to Your child","7-ways-to-create-a-safe-sleep-haven-to-your-child-127","A safe and soothing sleep environment can help your child fall asleep and stay asleep. Use these simple strategies to create this space in your home.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Choosing a fitness center","choosing-a-fitness-center-128","Discover what questions to ask when shopping for a fitness center so that you can choose a facility that puts you on the path to results.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"6 Ways to Ease the fear of childhood nightmares","6-ways-to-ease-the-fear-of-childhood-nightmares-129","Almost all children experience occasional nightmares. Understand what causes bad dreams, and how you can help relieve your child's distress.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Travel and Workouts","travel-and-workouts-130","Business travel can take a toll on an exercise routine. But it can also mean new opportunities for fitness. Discover how to fit in workouts on the road.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"10 Ways to stop stress to Better sleep","10-ways-to-stop-stress-to-better-sleep-131","From making your bed to banning electronics from your bedroom, use these tips to manage your stress and get a good night's sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"15 Ways to manage your life to Better sleep","15-ways-to-manage-your-life-to-better-sleep-132","Today's fast-paced life can make it difficult to get the sleep you need. Discover specific strategies you can do today to improve your sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"A family sleep routine makes bedtime a breeze","a-family-sleep-routine-makes-bedtime-a-breeze-133","Healthy sleep is important for everyone in the family. Discover ways to set a routine that will make bedtime better for the whole family.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Addressing allergies improves sleep","addressing-allergies-improves-sleep-134","Allergies can disturb your breathing and rob you of a good night's sleep. Simple strategies can assist you with manage allergies and improve sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Aging and Sleep: why you don't sleep like you used to","aging-and-sleep-why-you-dont-sleep-like-you-used-to-135","Sleepless nights aren't a normal part of aging. Discover how sleep patterns change as you age and what you can do to get the rest you need.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"3 Tools to Practice forgiveness","3-tools-to-practice-forgiveness-136","Forgiveness ultimately benefits you - releasing you from the power the offender holds over you and freeing you from pain. The next time you find yourself hurt by someone's actions, see if you can use these tools to practice forgiveness.","FXMed Team","Pain Management","5 min read","draft","","",""
"Alcohol affects sleep in surprising ways","alcohol-affects-sleep-in-surprising-ways-137","Wine or beer at night might assist you with nod off, but booze before bedtime can make you toss and turn later in the night. Know how alcohol affects your sleep. ","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"5 Simple strategies to Become more mindful","5-simple-strategies-to-become-more-mindful-138","Ease stress with these five mindfulness strategies that you can practice almost anytime and anywhere.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
